Product Title,Price,Rating,Reviews,Product URL,Product Description
AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),₹267,3.7,567,https://www.amazon.in/AmazonBasics-Mini-Backpack-Outdoor-Black/dp/B0BRKFXT9Z/ref=sr_1_65?keywords=bag&qid=1690992722&sr=8-65,Description not available
"Storite Nylon 46 Cm Imported Multi Purpose Travel Duffle Bag for Women with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)","₹1,399",4.2,356,https://www.amazon.in/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C/ref=sr_1_66?keywords=bag&qid=1690992722&sr=8-66,Description not available
Dyazo Light Weight Water Resistant Single Shoulder Crossbody Camera Bag/Case Compatible for Sony Canon Nikon SLR DSLR Mirrorless Cameras and Lenses (Black & Grey),₹499,4.3,453,https://www.amazon.in/Dyazo-Resistant-Crossbody-Compatible-Mirrorless/dp/B0C94C8CCQ/ref=sr_1_67?keywords=bag&qid=1690992722&sr=8-67,Description not available
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",₹399,4.0,137,https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2XC4H/ref=sr_1_68?keywords=bag&qid=1690992722&sr=8-68,Description not available
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,₹339,3.8,"2,517",https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_69?keywords=bag&qid=1690992722&sr=8-69,Description not available
Skybags Unisex Gucci Fabric Backpacks,₹519,4.2,286,https://www.amazon.in/Skybags-Unisex-Yellow-Fabric-Backpacks/dp/B0B21XM4KX/ref=sr_1_70?keywords=bag&qid=1690992722&sr=8-70,Description not available
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.0,"6,295",https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_71?keywords=bag&qid=1690992722&sr=8-71,Description not available
"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",₹284,4.1,476,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7/ref=sr_1_72?keywords=bag&qid=1690992722&sr=8-72,Description not available
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹479,3.9,"10,323",https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=sr_1_73?keywords=bag&qid=1690992722&sr=8-73,Description not available
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,₹987,4.3,"1,666",https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_74?keywords=bag&qid=1690992722&sr=8-74,Description not available
